Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy,,,
mensaje,Radamantis,"¡Damas y caballeros, sean bienvenidos a 'Make me Laugh!', una velada que recordarán por las risas que resonarán en el aire. Están a punto de sumergirse en una experiencia única, repleta de carcajadas, música y momentos que grabaré en sus memorias.",,
cambiar,happy2,,,
mensaje,Radamantis,"Prepárense para ser testigos de un espectáculo que no solo hará que se re desvanezcan de risa, sino que también les brindará una experiencia única que trasciende el tiempo ¿Listos para un viaje donde la elegancia resalta y donde mi entretenimiento es lo más importante?",,
mensaje,Radamantis,"Permítanme agradecerles por ser parte de esta reunión mágica, donde la risa es la llave maestra que abre las puertas de mi felicidad.",,
cambiar,happy,,,
mensaje,Radamantis,"Y ahora, sin más preámbulos, les presento a la joya de la noche, su servidor, el magnífico Rada. En esta travesía, mi elegancia, sabiduría, carisma y buen humor serán la guía para llevar sus risas a nuevas alturas. ¡Que comience 'Make me Laugh!', donde la risa es la regla y el juicio recae en la destreza de mis concursantes.",,
esperar,0.5
cambiar,happy2,,,
mensaje,Radamantis,"""¡Saludos, jugadores! Soy Radamantis, Rada para la plebe, la estrella con más estilo. ¿Listos para una noche de juegos que son tan inesperados como un giro de trama en un juego de Hideo Kojima? ¡Comenzamos los juegos!""",,
